Ending_college,5_year_later,10_years_later
210000,360000,456000
360000,420000,540000
228000,480000,600000
300000,720000,1500000
360000,540000,840000
600000,900000,2400000
240000,720000,1200000
290000,550000,1200000
240000,420000,540000
16000,27000,40000
288000,600000,900000
276000,300000,420000
250000,360000,600000
360000,600000,1200000
430000,700000,2000000
216000,360000,480000
180000,250000,320000
360000,1200000,3600000
360000,600000,960000
240000,400000,800000
252000,420000,780000
204000,360000,660000
360000,600000,2000000
360000,960000,1440000
200000,360000,600000
216000,336000,420000
120000,480000,800000