name,price,3dmark,value,2dmark,tdp,powerperf,test,category
GeForce FX 5200LE,$42.99*,7,0.16,170,NA,NA,May 2009,Unknown
GeForce FX 5200SE,NA,11,NA,193,NA,NA,Sep 2013,Unknown
GeForce FX 5500,$36.99*,8,0.22,151,NA,NA,Apr 2009,Desktop
GeForce FX 5600,NA,11,NA,163,NA,NA,Apr 2009,Desktop
GeForce FX 5600 Ultra,NA,17,NA,121,NA,NA,Apr 2009,Desktop
GeForce FX 5600XT,NA,9,NA,165,NA,NA,Apr 2009,Unknown
GeForce FX 5700,NA,41,NA,169,NA,NA,Apr 2009,Desktop
GeForce FX 5700 Ultra,NA,34,NA,126,NA,NA,Apr 2009,Desktop
GeForce FX 5700LE,NA,24,NA,144,NA,NA,Apr 2009,Desktop
GeForce FX 5700VE,NA,33,NA,161,NA,NA,Apr 2009,Desktop
GeForce FX 5900,NA,34,NA,187,NA,NA,Apr 2009,Desktop
GeForce FX 5900 Ultra,NA,41,NA,170,NA,NA,May 2009,Desktop
GeForce FX 5900XT,NA,40,NA,133,NA,NA,Apr 2009,Desktop
GeForce FX 5950 Ultra,NA,59,NA,273,NA,NA,Apr 2009,Desktop
GeForce FX Go 5200,NA,8,NA,192,NA,NA,Jun 2010,Mobile
GeForce FX Go 5600,NA,17,NA,186,NA,NA,Sep 2009,Mobile
GeForce FX Go5300,NA,12,NA,159,NA,NA,Aug 2009,Unknown
GeForce FX Go5650,NA,16,NA,210,NA,NA,May 2009,Unknown
GeForce FX Go5700,NA,51,NA,171,NA,NA,May 2009,Unknown
GeForce G 103M,NA,105,NA,280,14,7,Aug 2012,Mobile
GeForce G 105M,NA,113,NA,258,14,8,Apr 2009,Mobile
GeForce G100,$19.99*,99,4.99,357,NA,NA,Aug 2012,Unknown
GeForce G102M,NA,94,NA,264,NA,NA,Jul 2009,Unknown
GeForce G105M,NA,179,NA,300,NA,NA,Nov 2009,Unknown
GeForce G200,NA,134,NA,286,NA,NA,Feb 2010,Unknown
GeForce G205M,NA,91,NA,293,NA,NA,Sep 2010,Unknown
GeForce G210,$63.13*,170,2.70,384,NA,NA,Jul 2009,Unknown
GeForce G210M,NA,199,NA,288,14,14,Sep 2009,Mobile
GeForce Go 6100,NA,18,NA,180,NA,NA,Apr 2009,Unknown
GeForce Go 6150,NA,17,NA,179,NA,NA,Oct 2009,Unknown
GeForce Go 6200,NA,15,NA,202,NA,NA,Apr 2009,Mobile
GeForce Go 6400,NA,24,NA,211,NA,NA,Apr 2009,Mobile
GeForce Go 6600,NA,69,NA,212,NA,NA,Apr 2009,Mobile
GeForce Go 6600 TE/6200 TE,NA,44,NA,222,NA,NA,May 2009,Unknown
GeForce Go 6800,NA,106,NA,204,NA,NA,Apr 2009,Mobile
GeForce Go 6800 Ultra,NA,137,NA,197,NA,NA,Apr 2009,Mobile
GeForce Go 7200,NA,45,NA,198,NA,NA,Aug 2012,Mobile
GeForce Go 7300,NA,50,NA,219,NA,NA,Aug 2012,Mobile
GeForce Go 7400,NA,62,NA,221,NA,NA,Apr 2009,Mobile
GeForce Go 7600,NA,129,NA,221,NA,NA,Apr 2009,Mobile
GeForce Go 7600 GT,NA,163,NA,238,NA,NA,Jun 2009,Mobile
GeForce Go 7700,NA,147,NA,232,NA,NA,Apr 2009,Mobile
GeForce Go 7800,NA,116,NA,203,35,3,Apr 2009,Mobile
GeForce Go 7800 GTX,NA,209,NA,239,65,3,Apr 2009,Mobile
GeForce Go 7900 GS,NA,176,NA,253,20,8,Nov 2009,Mobile
GeForce Go 7950 GTX,NA,263,NA,283,45,5,Apr 2009,Mobile
GeForce GPU,NA,1166,NA,448,NA,NA,Jul 2015,Mobile
GeForce GT 1030,$69.99,2210,31.58,570,30,73,May 2017,Desktop
GeForce GT 120,$34.49*,287,8.35,383,50,5,Apr 2009,Desktop
GeForce GT 120M,NA,267,NA,272,23,11,Jul 2009,Mobile
GeForce GT 130,$27.99*,459,16.41,390,75,6,Apr 2009,Desktop
GeForce GT 130M,NA,298,NA,309,23,12,Apr 2009,Mobile
GeForce GT 140,NA,747,NA,433,105,7,May 2009,Desktop
GeForce GT 220,$79.99*,349,4.37,428,58,6,Aug 2012,Desktop
GeForce GT 220M,NA,259,NA,289,14,18,Aug 2009,Mobile
GeForce GT 230,$43.99*,471,10.72,436,NA,NA,May 2009,Unknown
GeForce GT 230M,NA,332,NA,351,23,14,Sep 2009,Mobile
GeForce GT 240,$37.99*,650,17.13,458,69,9,Aug 2012,Desktop
GeForce GT 240M,NA,351,NA,332,23,15,Jul 2009,Mobile
GeForce GT 320,$32.69*,553,16.92,481,43,12,Jan 2010,Desktop
GeForce GT 320M,NA,205,NA,346,14,14,Feb 2010,Mobile
GeForce GT 325M,NA,293,NA,387,23,12,Apr 2011,Mobile
GeForce GT 330,$39.99*,555,13.89,469,NA,NA,Mar 2010,Unknown
GeForce GT 330M,NA,362,NA,390,23,15,Aug 2012,Mobile
GeForce GT 335M,NA,501,NA,319,28,17,Mar 2010,Mobile
GeForce GT 340,$52.99*,775,14.64,474,69,11,Jan 2011,Desktop
GeForce GT 415M,NA,319,NA,426,12,26,Apr 2011,Mobile
GeForce GT 420,$45.99*,472,10.27,543,50,9,Dec 2010,Desktop
GeForce GT 420M,NA,543,NA,414,23,23,Oct 2010,Mobile
GeForce GT 425M,NA,625,NA,391,23,27,Sep 2010,Mobile
GeForce GT 430,$35.99*,661,18.38,477,49,13,Aug 2012,Desktop
GeForce GT 435M,NA,667,NA,401,35,19,Aug 2012,Mobile
GeForce GT 440,$69.99*,841,12.03,491,65,12,Dec 2010,Desktop
GeForce GT 445M,NA,1054,NA,393,35,30,Nov 2010,Mobile
GeForce GT 520,$59.99*,366,6.11,471,29,12,Apr 2011,Desktop
GeForce GT 520M,$59.99*,381,6.36,427,12,31,Aug 2012,Mobile
GeForce GT 520MX,NA,406,NA,428,20,20,Oct 2012,Mobile
GeForce GT 525M,NA,600,NA,469,20,30,Sep 2012,Mobile
GeForce GT 530,$49.00*,744,15.19,606,50,14,Jun 2011,Desktop
GeForce GT 540M,NA,649,NA,471,32,20,Aug 2012,Mobile
GeForce GT 545,$55.59*,1293,23.27,624,NA,NA,Aug 2012,Unknown
GeForce GT 550M,NA,718,NA,483,32,22,Mar 2011,Mobile
GeForce GT 555M,NA,893,NA,489,30,29,Mar 2011,Mobile
GeForce GT 610,$39.99*,351,8.78,481,29,12,Aug 2012,Desktop
GeForce GT 620,$39.99*,430,10.76,564,30,14,Jun 2012,Desktop
GeForce GT 620M,NA,570,NA,446,15,38,Jul 2012,Mobile
GeForce GT 625,NA,439,NA,773,30,14,Jun 2013,Desktop
GeForce GT 625M,NA,503,NA,409,15,33,Feb 2013,Mobile
GeForce GT 630,$99.21*,746,7.52,549,50,14,Jun 2012,Desktop
GeForce GT 630M,NA,687,NA,523,33,20,Oct 2012,Mobile
GeForce GT 635,NA,916,NA,813,NA,NA,Oct 2013,Unknown
GeForce GT 635M,NA,696,NA,533,35,19,Sep 2012,Mobile
GeForce GT 640,$59.99*,1280,21.35,608,65,19,Dec 2011,Desktop
GeForce GT 640M,NA,960,NA,562,32,30,Oct 2012,Mobile
GeForce GT 640M LE,$849.99*,784,0.92,541,32,24,Sep 2012,Mobile
GeForce GT 645,NA,2234,NA,752,NA,NA,Nov 2012,Unknown
GeForce GT 645M,NA,889,NA,525,32,27,Jan 2013,Mobile
GeForce GT 650M,NA,1230,NA,587,45,27,Aug 2012,Mobile
GeForce GT 705,NA,421,NA,687,29,14,Sep 2014,Desktop
GeForce GT 710,$39.99,680,17.01,524,25,27,Jul 2014,Desktop
GeForce GT 710M,NA,551,NA,429,NA,NA,Aug 2014,Unknown
GeForce GT 720,$54.99*,716,13.03,628,19,37,Jun 2014,Desktop
GeForce GT 720A,NA,661,NA,706,NA,NA,Oct 2014,Unknown
GeForce GT 720M,NA,560,NA,482,NA,NA,Jul 2013,Mobile
GeForce GT 730,$58.99,922,15.63,571,49,18,Jul 2014,Desktop
GeForce GT 730A,NA,742,NA,714,NA,NA,Jun 2014,Unknown
GeForce GT 730M,NA,832,NA,589,33,25,Feb 2013,Mobile
GeForce GT 735M,NA,668,NA,484,NA,NA,Jul 2013,Mobile
GeForce GT 740,$94.99*,1571,16.55,606,64,24,Jun 2014,Desktop
GeForce GT 740M,NA,784,NA,551,NA,NA,May 2013,Mobile
GeForce GT 745A,NA,1179,NA,771,NA,NA,Aug 2013,Unknown
GeForce GT 745M,NA,972,NA,601,45,21,Jun 2013,Mobile
GeForce GT 750M,NA,1293,NA,633,50,25,Apr 2013,Mobile
GeForce GT 755M,NA,1595,NA,679,50,31,Sep 2013,Mobile
GeForce GT 820M,NA,701,NA,525,NA,NA,Oct 2016,Unknown
GeForce GT625M,NA,528,NA,392,NA,NA,Jan 2014,Unknown
GeForce GTS 160M,NA,678,NA,308,60,11,Jul 2009,Mobile
GeForce GTS 240,$64.99*,821,12.64,516,120,6,Sep 2009,Desktop
GeForce GTS 250,$114.99*,876,7.63,496,150,5,Aug 2012,Desktop
GeForce GTS 250M,NA,567,NA,362,28,20,Oct 2009,Mobile
GeForce GTS 350M,NA,556,NA,384,28,19,Aug 2010,Mobile
GeForce GTS 360M,NA,757,NA,390,38,19,Jan 2010,Mobile
GeForce GTS 450,$64.99*,1557,23.96,534,106,14,Aug 2012,Desktop
GeForce GTX 1050,$124.99,4648,37.19,683,75,61,Oct 2016,Desktop
GeForce GTX 1050 Ti,$154.99,5978,38.57,736,75,79,Oct 2016,Desktop
GeForce GTX 1050 Ti with Max-Q Design,NA,5711,NA,634,NA,NA,Apr 2018,Unknown
GeForce GTX 1050 with Max-Q Design,NA,3831,NA,648,NA,NA,Aug 2018,Unknown
GeForce GTX 1060,$239.99,9059,37.75,817,120,75,Jul 2016,Desktop
GeForce GTX 1060 3GB,$189.99,8949,47.10,802,120,74,Aug 2016,Desktop
GeForce GTX 1060 5GB,NA,6150,NA,681,NA,NA,Apr 2018,Desktop
GeForce GTX 1060 with Max-Q Design,NA,7732,NA,696,80,96,Jun 2017,Mobile
GeForce GTX 1070,$319.99,11287,35.28,892,150,75,Jun 2016,Desktop
GeForce GTX 1070 Ti,$439.99,12304,27.96,895,180,68,Nov 2017,Desktop
GeForce GTX 1070 with Max-Q Design,NA,9254,NA,711,90,102,Jul 2017,Mobile
GeForce GTX 1080,$880.60,12383,14.06,927,180,68,May 2016,Desktop
GeForce GTX 1080 Ti,$759.99,14189,18.67,941,250,56,Mar 2017,Desktop
GeForce GTX 1080 with Max-Q Design,NA,10214,NA,743,110,92,Jul 2017,Mobile
GeForce GTX 260,$95.38*,1135,11.91,525,202,5,Aug 2012,Desktop
GeForce GTX 260M,NA,589,NA,367,65,9,Aug 2012,Mobile
GeForce GTX 275,$119.99*,1242,10.36,557,219,5,Aug 2012,Desktop
GeForce GTX 280,$522.78*,1203,2.30,552,236,5,Aug 2012,Desktop
GeForce GTX 280M,NA,620,NA,443,75,8,May 2009,Mobile
GeForce GTX 285,$179.99*,1272,7.07,553,204,6,Apr 2009,Desktop
GeForce GTX 285M,NA,734,NA,473,75,9,Feb 2010,Mobile
GeForce GTX 295,$159.99*,1054,6.59,568,289,3,Apr 2009,Desktop
GeForce GTX 460,$89.99*,2654,29.50,586,150,17,Aug 2012,Desktop
GeForce GTX 460 SE,$159.99*,2256,14.11,589,150,15,Aug 2012,Desktop
GeForce GTX 460 v2,$199.99*,2491,12.46,611,160,15,Oct 2011,Desktop
GeForce GTX 460M,NA,1392,NA,466,50,27,Aug 2012,Mobile
GeForce GTX 465,$263.28*,2947,11.19,584,200,14,Aug 2012,Desktop
GeForce GTX 470,$522.01*,3601,6.90,618,215,16,Aug 2012,Desktop
GeForce GTX 470M,NA,1949,NA,523,50,38,Dec 2010,Mobile
GeForce GTX 480,$71.99*,4360,60.57,665,250,17,Aug 2012,Desktop
GeForce GTX 480M,NA,2039,NA,543,100,20,Jul 2010,Mobile
GeForce GTX 485M,NA,2400,NA,579,100,24,Jan 2011,Mobile
GeForce GTX 550 Ti,$287.59*,1924,6.69,574,116,16,Aug 2012,Desktop
GeForce GTX 555,NA,2161,NA,647,150,14,Feb 2012,Desktop
GeForce GTX 560,$353.59*,3118,8.82,627,150,20,Aug 2012,Desktop
GeForce GTX 560 SE,$89.99*,2192,24.37,578,150,14,Aug 2012,Desktop
GeForce GTX 560 Ti,$138.00*,3529,25.58,657,170,20,Aug 2012,Desktop
GeForce GTX 560M,NA,1546,NA,529,75,20,Jun 2011,Mobile
GeForce GTX 570,$99.99*,4416,44.17,692,219,20,Aug 2012,Desktop
GeForce GTX 570M,NA,2024,NA,540,75,26,Sep 2011,Mobile
GeForce GTX 580,$289.88*,5021,17.32,710,244,20,Aug 2012,Desktop
GeForce GTX 580M,NA,2292,NA,563,100,22,Jul 2011,Mobile
GeForce GTX 590,$184.00*,4212,22.90,730,365,11,Mar 2011,Desktop
GeForce GTX 645,NA,1929,NA,802,64,30,May 2013,Desktop
GeForce GTX 650,$144.81*,1833,12.66,611,64,28,Sep 2012,Desktop
GeForce GTX 650 Ti,$169.99*,2659,15.64,640,110,24,Oct 2012,Desktop
GeForce GTX 650 Ti BOOST,NA,3535,NA,671,134,26,Apr 2013,Desktop
GeForce GTX 660,$349.99*,4127,11.79,702,140,29,Sep 2012,Desktop
GeForce GTX 660 Ti,$321.99*,4663,14.48,736,150,31,Aug 2012,Desktop
GeForce GTX 660M,NA,1439,NA,595,50,28,May 2012,Mobile
GeForce GTX 670,$474.99*,5367,11.30,775,170,31,Aug 2012,Desktop
GeForce GTX 670M,NA,1938,NA,620,75,25,May 2012,Mobile
GeForce GTX 670MX,NA,2075,NA,612,75,27,Dec 2012,Mobile
GeForce GTX 675M,NA,2149,NA,642,100,21,May 2012,Mobile
GeForce GTX 675MX,NA,2405,NA,647,100,24,Jan 2013,Mobile
GeForce GTX 680,$579.99*,5673,9.78,784,195,29,Aug 2012,Desktop
GeForce GTX 680M,$499.99*,3349,6.70,695,100,33,Jul 2012,Mobile
GeForce GTX 680MX,NA,4274,NA,735,122,35,Jan 2013,Mobile
GeForce GTX 690,$999.00*,5382,5.39,752,300,17,May 2012,Desktop
GeForce GTX 745,NA,2182,NA,777,55,39,Mar 2014,Desktop
GeForce GTX 750,$150.99*,3310,21.92,650,55,60,Feb 2014,Desktop
GeForce GTX 750 Ti,$299.01*,3744,12.52,663,60,62,Feb 2014,Desktop
GeForce GTX 760,$249.99*,4938,19.76,760,170,29,Jun 2013,Desktop
GeForce GTX 760 Ti,$297.50*,5117,17.20,804,170,30,Jan 2014,Desktop
GeForce GTX 760A,NA,1281,NA,781,NA,NA,Apr 2015,Unknown
GeForce GTX 760M,NA,1431,NA,664,55,26,Aug 2013,Mobile
GeForce GTX 765M,NA,1884,NA,695,65,28,Jun 2013,Mobile
GeForce GTX 770,$449.99*,6071,13.49,808,230,26,Jun 2013,Desktop
GeForce GTX 770M,$177.99*,2651,14.90,721,75,35,Jun 2013,Mobile
GeForce GTX 775M,NA,4180,NA,804,NA,NA,Nov 2013,Unknown
GeForce GTX 780,$740.99*,7961,10.74,845,250,31,May 2013,Desktop
GeForce GTX 780 Ti,$749.99*,8894,11.86,845,250,35,Nov 2013,Desktop
GeForce GTX 780M,NA,4014,NA,771,122,32,Jun 2013,Mobile
GeForce GTX 850A,NA,802,NA,566,NA,NA,May 2015,Unknown
GeForce GTX 850M,NA,1599,NA,651,40,39,May 2014,Mobile
GeForce GTX 860M,NA,1907,NA,637,45,42,Apr 2014,Mobile
GeForce GTX 870M,NA,2410,NA,725,110,21,Mar 2014,Mobile
GeForce GTX 880M,NA,3687,NA,774,130,28,Mar 2014,Mobile
GeForce GTX 950,$194.44*,5224,26.87,717,90,58,Aug 2015,Desktop
GeForce GTX 950A,NA,1654,NA,596,NA,NA,Oct 2015,Unknown
GeForce GTX 950M,NA,1867,NA,600,75,24,Mar 2015,Mobile
GeForce GTX 960,$229.99*,5809,25.26,756,120,48,Jan 2015,Desktop
GeForce GTX 960A,NA,2358,NA,631,NA,NA,Dec 2015,Unknown
GeForce GTX 960M,NA,2293,NA,572,65,35,Apr 2015,Mobile
GeForce GTX 965M,NA,3191,NA,660,60,53,Jan 2015,Mobile
GeForce GTX 970,$407.76*,8612,21.12,845,145,59,Sep 2014,Desktop
GeForce GTX 970M,"$1,899.00*",4147,2.18,688,75,55,Oct 2014,Mobile
GeForce GTX 980,$602.66,9621,15.97,866,165,58,Sep 2014,Desktop
GeForce GTX 980 Ti,$531.82*,11369,21.38,901,250,45,Jun 2015,Desktop
GeForce GTX 980M,NA,5921,NA,729,100,59,Oct 2014,Mobile
GeForce GTX Titan,"$2,054.59*",7932,3.86,807,250,31,Feb 2013,Desktop
GeForce GTX TITAN Black,$999.99*,8618,8.62,808,250,34,Mar 2014,Desktop
GeForce GTX TITAN X,"$1,999.99*",10685,5.34,830,250,42,Mar 2015,Desktop
GeForce GTX TITAN Z,"$1,580.00*",7693,4.87,708,375,20,Jun 2014,Desktop
GeForce MX110,NA,1586,NA,555,NA,NA,Dec 2017,Unknown
GeForce MX130,NA,1913,NA,586,NA,NA,Jan 2018,Unknown
GeForce MX150,NA,2159,NA,640,25,86,Jul 2017,Mobile
GeForce MX230,NA,1972,NA,610,NA,NA,Jan 2019,Unknown
GeForce PCX 5300,NA,6,NA,197,NA,NA,May 2009,Desktop
GeForce PCX 5750,NA,34,NA,310,NA,NA,Jun 2010,Desktop
GeForce RTX 2060,$349.99,13191,37.69,845,NA,NA,Jan 2019,Unknown
GeForce RTX 2070,$499.99,14355,28.71,913,175,82,Oct 2018,Desktop
GeForce RTX 2080,$699.99,15668,22.38,938,250,62,Sep 2018,Desktop
GeForce RTX 2080 Ti,"$1,269.99",17031,13.41,956,250,68,Sep 2018,Desktop
GeForce2 GTS/GeForce2 Pro,NA,3,NA,135,NA,NA,Feb 2012,Unknown
GeForce2 Integrated GPU,NA,4,NA,170,NA,NA,Apr 2009,Unknown
GeForce2 MX,NA,2,NA,143,NA,NA,Jul 2011,Desktop
GeForce2 MX 100/200,NA,3,NA,119,NA,NA,Sep 2009,Unknown
GeForce2 MX/MX 400,NA,3,NA,128,NA,NA,Jul 2009,Unknown
GeForce2 Ti,NA,4,NA,148,NA,NA,May 2009,Desktop
GeForce3,NA,4,NA,120,NA,NA,Apr 2009,Desktop
GeForce3 Ti 200,NA,4,NA,140,NA,NA,Apr 2009,Unknown
GeForce3 Ti 500,NA,2,NA,115,NA,NA,Nov 2009,Unknown
GeForce4 420 Go,NA,3,NA,146,NA,NA,May 2010,Mobile
GeForce4 420 Go 32M,NA,5,NA,164,NA,NA,Apr 2009,Unknown
GeForce4 4200 Go,NA,3,NA,173,NA,NA,Apr 2010,Mobile
GeForce4 440 Go,NA,3,NA,139,NA,NA,Apr 2009,Mobile
GeForce4 440 Go 64M,NA,5,NA,155,NA,NA,May 2009,Unknown
GeForce4 448 Go,NA,5,NA,199,NA,NA,May 2009,Unknown
GeForce4 460 Go --MobileForce M4 Stock--,NA,5,NA,182,NA,NA,Jun 2013,Unknown
GeForce4 MX 4000,NA,4,NA,131,NA,NA,Apr 2009,Unknown
GeForce4 MX 420,NA,4,NA,170,NA,NA,Apr 2009,Unknown
GeForce4 MX 440,NA,4,NA,138,NA,NA,Jul 2009,Unknown
GeForce4 MX 440 with AGP8X,NA,4,NA,156,NA,NA,Apr 2009,Unknown
GeForce4 MX 440SE,NA,4,NA,158,NA,NA,Apr 2009,Unknown
GeForce4 MX 460,NA,4,NA,176,NA,NA,May 2009,Unknown
GeForce4 MX Integrated GPU,NA,6,NA,198,NA,NA,Apr 2009,Unknown
GeForce4 Ti 4200,NA,5,NA,154,NA,NA,Apr 2009,Unknown
GeForce4 Ti 4400,NA,7,NA,170,NA,NA,Apr 2009,Unknown
GeForce4 Ti 4600,$53.99*,5,0.10,172,NA,NA,Apr 2009,Unknown
GeForce4 Ti 4800 SE,NA,7,NA,193,NA,NA,May 2009,Unknown
GeForce9400M,NA,105,NA,160,NA,NA,Oct 2009,Unknown
GF117,NA,554,NA,446,NA,NA,Feb 2015,Unknown
GIGABYTE RADEON 9600 PRO,NA,39,NA,129,NA,NA,Jul 2009,Unknown
GRID K1,$545.00,880,1.62,459,NA,NA,Aug 2013,Workstation
GRID K120Q,NA,298,NA,275,NA,NA,Dec 2015,Workstation
GRID K140Q,NA,727,NA,456,NA,NA,Jul 2014,Workstation
GRID K160Q,NA,701,NA,446,NA,NA,Mar 2016,Workstation
GRID K180Q,NA,778,NA,461,NA,NA,Apr 2015,Workstation
GRID K2,"$1,177.00",3772,3.21,396,NA,NA,Aug 2013,Workstation
GRID K220Q,NA,912,NA,538,NA,NA,Feb 2015,Workstation
GRID K240Q,NA,2143,NA,641,NA,NA,Sep 2014,Workstation
GRID K260Q,NA,2940,NA,644,NA,NA,Feb 2015,Workstation
GRID K280Q,NA,2322,NA,565,NA,NA,Feb 2015,Workstation
GRID K520,NA,4384,NA,532,NA,NA,Nov 2013,Workstation
GRID M60-1Q,NA,4680,NA,614,NA,NA,May 2017,Unknown
GRID M60-2Q,NA,5904,NA,537,NA,NA,Apr 2017,Unknown
GRID M60-4Q,NA,3291,NA,819,NA,NA,Apr 2016,Workstation
GRID M60-8Q,NA,3883,NA,617,NA,NA,Mar 2017,Unknown
GRID P6-4Q,NA,4429,NA,585,NA,NA,Mar 2018,Unknown
HD6450,NA,227,NA,311,NA,NA,Apr 2016,Unknown
Intel - Express Chipset G41,NA,57,NA,317,NA,NA,Dec 2011,Unknown
Intel - Express Chipset Q45/Q43,NA,57,NA,336,NA,NA,Aug 2011,Unknown
Intel 4th Generation Haswell HD,NA,419,NA,734,NA,NA,Apr 2017,Unknown
Intel 82845G Controller,NA,2,NA,131,NA,NA,Apr 2009,Unknown
Intel 82845G/GL Controller,NA,2,NA,176,NA,NA,Apr 2009,Unknown
Intel 82845G/GL/GE/PE/GV Controller,NA,2,NA,158,NA,NA,Apr 2009,Unknown
Intel 82865G Controller,NA,4,NA,194,NA,NA,May 2009,Unknown
Intel 82915G Express,NA,5,NA,206,NA,NA,Mar 2010,Unknown
Intel 82915G/GV/910GL Express,NA,3,NA,141,NA,NA,Jun 2010,Unknown
Intel 82945G Express,NA,5,NA,211,NA,NA,Apr 2009,Unknown
